Étiquettes de lignes;freqlemfilms2;nblettres;nbphons;old20;pld20
dénuder;0.54;7;6;1.9;1.8
dénué;2.1;10;10;3.5;3.8
dénuée;2.1;12;10;3.4;3.8
dénuées;2.06;7;5;1.8;1.9
dénués;2.1;12;10;3.5;3.8
dépeint;2.5;14;8;3.5;3.2
dépeinte;2.5;16;10;3.6;3.7
dépeints;2.5;16;8;3.5;3.2
dépendance;2.42;10;7;2.6;1.8
dépendances;2.42;11;7;3;1.8
déplaisante;3.34;11;8;2.4;2.45
déplaisantes;3.34;12;8;2.65;2.45
déplaisants;3.34;11;7;2.45;1.8
déplorable;1.52;10;9;3.05;2.95
déplorables;1.52;11;9;3.55;2.95
déportées;3.05;18;14;3.8;3.6
déprime;12.46;14;12;3.3;3.3
déprimé;14.56;21;21;5.25;5.25
déprimée;14.56;24;21;5.25;5.25
déprimées;14.56;27;21;5.4;5.25
déprimes;12.46;16;12;3.5;3.3
déprimés;14.56;24;21;5.25;5.25
dérouillait;2.13;11;6;1.8;1.5
dérouille;2.13;9;5;1.6;1.5
dérouillé;2.13;9;6;1.8;1.45
dérouillée;2.52;20;12;3.5;2.9
dérouillent;2.13;11;5;1.85;1.5
dérouiller;2.13;10;6;1.65;1.45
dérouilles;2.13;10;5;1.7;1.5
déroutait;1.63;9;6;1.85;1.55
dérouté;1.63;7;6;1.7;1.55
déroutée;1.63;8;6;1.7;1.55
déroutent;1.63;9;5;1.9;1.65
dérouter;1.63;8;6;1.7;1.55
déroutés;1.63;8;6;1.75;1.55
désaccord;3.02;9;7;3.05;2.3
désaccords;3.02;10;7;2.95;2.3
désaffecté;1.03;20;18;5.7;5.4
désaffectée;1.03;22;18;5.7;5.4
désaffectées;1.03;24;18;6.1;5.4
désaffectés;1.03;22;18;5.7;5.4
déséquilibre;1.57;24;20;4.9;6.2
déséquilibré;1.35;36;33;7.95;10.05
déséquilibrée;1.35;39;33;7.95;10.05
déséquilibrés;1.35;39;33;7.95;10.05
déserteur;3.08;9;8;2.5;2.3
déserteurs;3.08;10;8;2.65;2.3
déshonore;7.99;9;7;2.3;2.25
déshonoré;7.99;9;8;2.8;2.6
déshonorée;7.99;10;8;2.65;2.6
déshonorées;7.99;11;8;2.65;2.6
déshonorent;7.99;11;7;2.45;2.25
déshonorer;7.99;10;8;2.4;2.6
déshonores;7.99;10;7;2.35;2.25
déshonorés;7.99;10;8;2.7;2.6
déshonorez;7.99;10;8;2.65;2.6
désinfectant;4.19;36;27;8.4;8.55
désintéressaient;0.95;16;10;3.75;2.85
désintéresse;0.95;12;9;2.85;2.5
désintéresser;0.95;13;10;2.9;3.15
désirable;1.39;9;8;2.75;2.6
désirables;1.39;10;8;2.85;2.6
désoeuvré;0.46;27;21;9.6;7.35
désoeuvrée;0.46;30;21;9.6;7.35
désoeuvrées;0.46;33;21;10.05;7.35
désoeuvrés;0.46;30;21;9.75;7.35
désordonnées;0.52;24;18;6;5.7
désorienté;2.63;20;18;4.8;5.3
désorientée;2.63;22;18;5.5;5.3
désorientés;2.63;22;18;5.5;5.3
desservaient;1.16;12;7;2.6;1.7
desservait;1.16;10;7;1.8;1.7
desservant;1.16;30;21;7.05;5.25
desserve;1.16;8;6;1.8;1.45
desservent;1.16;10;6;2.45;1.45
desservi;1.16;8;7;1.7;1.75
desservie;1.16;9;7;1.75;1.75
desservies;1.16;10;7;2.3;1.75
desservir;1.16;9;8;1.8;1.9
desservirait;1.16;12;9;2.5;2.35
desservis;1.16;9;7;1.7;1.75
détalaient;1.13;10;6;1.85;1.35
détalait;1.13;8;6;1.75;1.35
détalant;1.13;8;6;1.75;1.45
détale;1.13;6;5;1.4;1.05
détalé;1.13;6;6;1.7;1.35
détalent;1.13;8;5;1.8;1.05
détaler;1.13;7;6;1.65;1.35
détermination;2.75;13;12;3.25;3.3
détestable;1.93;10;9;2.7;2.7
détestables;1.93;11;9;3.1;2.7
détraqué;4.65;24;21;7.2;5.55
détraquée;4.65;27;21;7.05;5.55
détraquées;4.65;30;21;7.5;5.55
détraqués;4.65;27;21;7.05;5.55
détrempe;0.5;16;12;4.3;3.6
détrempé;0.4;8;7;2.2;1.8
détrempée;0.4;9;7;2.25;1.8
détrempées;0.4;10;7;2.5;1.8
détrempés;0.4;9;7;2.35;1.8
détritus;1.16;8;8;2.7;3
dévêtait;1.28;8;6;1.9;1.8
dévêtant;1.28;8;6;2.15;1.8
dévêtir;1.28;7;7;2.45;2.55
dévêtit;1.28;7;6;2.35;1.8
dévêtu;1.28;6;6;2.2;1.8
dévêtue;1.28;7;6;2.15;1.8
dévêtues;1.28;8;6;2.4;1.8
dévêtus;1.28;7;6;2.25;1.8
déviait;3.04;7;5;1.65;1.5
déviant;3.7;21;15;4.65;4.35
dévie;3.04;5;4;1.45;1.2
dévié;3.04;5;5;1.55;1.3
déviée;3.04;6;5;1.6;1.3
dévient;3.04;7;4;1.65;1.2
dévier;3.04;6;5;1.5;1.3
dévierait;3.04;9;7;1.85;1.95
déviés;3.04;6;5;1.75;1.3
dévions;3.04;7;5;1.8;1.55
dévisse;1.34;7;5;1.65;1.55
dévissé;1.37;14;12;3.6;3.5
dévissée;1.34;8;6;1.8;1.75
dévisser;1.34;8;6;1.85;1.75
dévissez;1.34;8;6;1.9;1.75
dévoue;4.71;6;4;1.4;1.55
dévouent;4.71;8;4;1.8;1.55
dévouer;4.71;7;5;1.6;1.65
dévouera;4.71;8;6;1.85;1.8
dévoues;4.71;7;4;1.6;1.55
diabolique;9.08;20;16;5.2;5.2
diaboliques;9.08;22;16;6.2;5.2
diagonale;0.39;18;16;6.2;6.5
diagonales;0.39;20;16;6.6;6.5
dictateur;2.53;9;8;2.75;2.7
dictateurs;2.53;10;8;2.7;2.7
dictatrice;2.53;10;9;2.95;2.9
dictature;3.86;9;8;3.15;2.9
dictatures;3.86;10;8;3.2;2.9
diffus;0.69;6;4;2.3;1.9
dilatait;1.3;8;6;2.2;1.75
dilate;1.3;6;5;1.8;1.8
dilatent;1.3;8;5;1.95;1.8
dilater;1.3;7;6;1.95;1.8
diplomatie;1.8;10;9;3.4;3.6
directive;3.77;18;16;5.1;5.1
directives;3.77;20;16;5.3;5.1
disgrâce;1.76;8;7;3.3;2.75
disloque;0.54;8;6;2;2.4
disloquent;0.54;10;6;2.4;2.4
disloquer;0.54;9;7;2.25;2.3
dispositif;5.38;10;10;3.15;3.75
dispositifs;5.38;11;10;3.2;3.75
distendu;0.54;16;14;4.6;3.7
distendue;0.54;18;14;4.4;3.7
distendues;0.54;20;14;4.9;3.7
distendus;0.54;18;14;4.8;3.7
diversion;4.33;9;8;2.45;2.05
diversions;4.33;10;8;2.3;2.05
divertissant;5.93;24;18;4.7;4.1
divinité;2.53;8;8;2.55;2.65
divinités;2.53;9;8;2.7;2.65
divisionnaire;3.28;26;20;7.1;6.9
divisionnaires;3.28;28;20;7.4;6.9
dodu;0.89;4;4;1.85;1.95
dodue;0.89;5;4;1.8;1.95
dodues;0.89;6;4;1.85;1.95
dodus;0.89;5;4;1.75;1.95
dôme;1.93;4;3;1.7;1.3
dômes;1.93;5;3;1.7;1.3
dominante;2.36;18;14;4.8;3.8
dominantes;2.36;20;14;5.4;3.8
domination;2.42;10;9;2.35;2.5
dominations;2.42;11;9;2.3;2.5
dormants;1.83;16;10;3.7;2.8
dot;4.73;3;3;1;1
dots;4.73;4;3;1.25;1
doublement;1.39;20;14;4.7;4.5
doublure;3.84;8;6;2.25;1.85
doublures;3.84;9;6;2.4;1.85
douille;3.89;14;6;2.3;2
douilles;3.89;16;6;2.6;2
draguaient;21;10;5;2.25;1.55
draguais;21;8;5;2;1.55
draguait;21;8;5;1.85;1.55
draguant;21;8;5;1.85;1.6
dragué;21;6;5;1.7;1.5
draguée;21;7;5;1.7;1.5
draguent;21;8;4;1.9;1.3
draguer;21;7;5;1.7;1.5
dragués;21;7;5;1.75;1.5
draguons;21;8;5;2.3;1.75
druide;1.18;6;5;1.95;2
druides;1.18;7;5;1.95;2
duel;7.54;4;4;1.7;1.8
duels;7.54;5;4;1.85;1.8
dûment;0.55;6;4;1.9;1.55
durable;2.13;7;6;1.85;1.85
durables;2.13;8;6;2.05;1.85
ébahi;0.73;10;8;3.9;3.5
ébahie;0.73;12;8;4.4;3.5
ébahis;0.73;12;8;4.1;3.5
ébauches;1.33;8;4;1.75;1.65
ébène;0.62;10;8;4;3.6
éberlué;0.03;14;14;4.5;4.9
éberluée;0.03;16;14;4.7;4.9
ébréché;1.11;14;12;4.9;3.8
ébréchée;1.11;16;12;4.8;3.8
ébréchées;1.11;18;12;5;3.8
écaillait;0.74;9;5;1.75;1.45
écaillent;0.74;9;4;1.75;1.45
écailler;0.85;16;10;3.1;3.2
écartelé;0.75;24;24;5.7;7.05
écartelée;0.61;18;16;4.7;4.7
écartelées;0.61;20;16;5;4.7
écartelés;0.75;27;24;6.75;7.05
ecclésiastique;0.73;28;22;11;9.8
ecclésiastiques;0.73;30;22;11;9.8
éclose;1.86;12;10;3.4;3.5
écosse;0.71;12;8;3.6;3.6
écossent;0.7;8;4;1.9;1.8
écrevisse;1.06;18;14;5.4;5.3
écrevisses;1.06;10;7;3.25;2.65
écu;1.75;3;3;1.65;1.4
écumant;0.97;14;10;3.6;3.4
écus;1.75;4;3;1.8;1.4
écuyer;1.56;6;6;1.85;1.8
écuyère;1.56;7;7;2.55;1.9
écuyers;1.56;7;6;2.55;1.8
édenté;0.63;18;15;5.4;5.4
édentée;0.63;21;15;5.25;5.4
édentées;0.63;24;15;5.55;5.4
édentés;0.63;21;15;5.25;5.4
édredon;0.59;7;6;2.9;3
édredons;0.59;8;6;2.9;3
effarant;1.19;16;10;3.9;3.2
effaré;0.24;12;10;3.5;3.3
effarée;0.24;14;10;3.5;3.3
effarés;0.24;14;10;3.7;3.3
effarouche;0.63;10;6;2.45;2
effarouchent;0.63;12;6;2.75;2
effaroucher;0.63;11;7;2.7;2.4
efflanqué;0.15;18;12;6.1;4.2
efflanqués;0.15;20;12;6.1;4.2
effrita;0.45;7;6;2.3;1.75
effritaient;0.45;11;6;2.6;1.7
effritait;0.45;9;6;2.55;1.7
effrite;0.45;7;5;2.1;1.55
effrité;0.45;7;6;2.15;1.65
effritent;0.45;9;5;2.45;1.55
effriter;0.45;8;6;2.45;1.65
égaie;1.39;5;3;1.7;1.35
égaieraient;1.39;11;5;2.45;1.8
égala;4.96;5;5;1.6;1.45
égalait;4.96;7;5;1.65;1.45
égalant;4.96;7;5;1.65;1.5
égalât;4.96;6;5;1.8;1.45
égalé;4.96;5;5;1.6;1.55
égalent;4.96;7;4;1.8;1.5
égaler;4.96;6;5;1.6;1.55
égaye;1.39;5;4;1.5;1.6
égayé;1.39;5;5;1.6;1.65
égayée;1.39;6;5;1.65;1.65
égayer;1.39;6;5;1.7;1.75
égouttaient;0.34;11;5;2.55;1.5
égouttait;0.34;9;5;2.25;1.5
égoutte;0.34;7;4;1.75;1.55
égoutté;0.34;7;5;2.3;1.55
égouttent;0.34;9;4;2.4;1.55
égoutter;0.34;8;5;1.85;1.55
élaborai;2.08;8;7;2.5;2.1
élaborait;2.08;9;7;2.55;2.1
élabore;2.08;7;6;2.05;1.9
élaboré;3.3;14;14;4.5;4.1
élaborée;3.3;16;14;4.5;4.1
élaborées;3.3;18;14;4.8;4.1
élaborent;2.08;9;6;2.45;1.9
élaborer;2.08;8;7;2.3;2.05
élaborèrent;2.08;11;8;3.05;2.6
élaborés;3.3;16;14;4.6;4.1
électoral;3.01;9;9;2.85;2.7
électorale;3.01;10;9;2.85;2.7
électorales;3.01;11;9;3.35;2.7
électoraux;3.01;10;8;3.35;2.65
électronique;8.22;24;20;6.9;5.9
électroniques;8.22;26;20;7.1;5.9
éloquence;1.3;9;6;3.1;2.25
éloquent;0.98;8;5;1.75;1.75
éloquente;0.98;9;6;2.4;1.95
éloquentes;0.98;10;6;2.7;1.95
éloquents;0.98;9;5;2.45;1.75
éludais;0.69;7;5;2.25;1.8
élude;0.69;5;4;1.6;1.65
éludé;0.69;5;5;1.85;1.8
éludée;0.69;6;5;1.85;1.8
éludées;0.69;7;5;1.9;1.8
éludent;0.69;7;4;1.95;1.65
éluder;0.69;6;5;1.85;1.8
éludes;0.69;6;4;1.65;1.65
élue;5.59;8;6;3;2.5
élues;5.49;5;3;1.7;1.25
émaillé;0.25;14;10;3.3;3
émaillée;0.25;16;10;3.2;3
émaillées;0.25;18;10;3.5;3
emballage;4.6;9;6;2.4;1.9
emballages;4.6;10;6;2.65;1.9
embarcation;0.8;11;9;3.6;2.65
embarcations;0.8;12;9;3.5;2.65
embaucha;13.11;8;5;1.85;1.4
embauchaient;13.11;12;5;2.75;1.45
embauchait;13.11;10;5;2.25;1.45
embauchant;13.11;10;5;2.1;1.5
embauché;13.11;8;5;1.75;1.35
embauchée;13.11;9;5;1.75;1.35
embauchées;13.11;10;5;1.9;1.35
embauchent;13.11;10;4;2.15;1.5
embaucher;13.11;9;5;1.75;1.35
embauchés;13.11;9;5;1.7;1.35
embauchons;13.11;10;5;2.5;1.65
embelli;3.4;7;5;2.25;1.9
embellir;3.4;8;6;2.35;2
embellirait;3.4;11;7;3.25;2.25
embellis;3.4;8;5;2.25;1.9
embellissaient;3.4;14;7;3.35;2.25
embellissait;3.4;12;7;3.1;2.25
embellissent;3.4;12;6;3.1;2.05
embellit;3.4;8;5;2.4;1.9
emblème;1.14;7;5;2.75;1.95
emblèmes;1.14;8;5;2.9;1.95
emboîtaient;0.98;11;6;2.6;1.6
emboîtait;0.98;9;6;2.25;1.6
emboîtant;0.98;9;6;2.3;1.65
emboîte;0.98;7;5;1.8;1.65
emboîté;0.98;7;6;2;1.65
emboîtées;0.98;9;6;2.15;1.65
emboîtent;0.98;9;5;2.45;1.65
emboîter;0.98;8;6;2.1;1.65
emboîtons;0.98;9;6;2.55;1.7
embuaient;0.38;9;4;2.45;1.8
embuant;0.38;7;4;2.25;1.8
embue;0.38;5;3;1.65;1.45
embuent;0.38;7;3;2.35;1.45
embuer;0.38;6;4;1.95;1.7
embusqué;1.62;24;18;6.75;6
embusquée;1.04;18;12;4.7;4
embusqués;1.62;27;18;7.2;6
émeute;6.75;6;4;1.7;1.8
émeutes;6.75;7;4;1.9;1.8
éminent;2.37;7;5;1.8;1.65
éminente;2.37;8;6;2.15;1.85
éminentes;2.37;9;6;2.4;1.85
éminents;2.37;8;5;2.35;1.65
émissaire;4.05;18;12;5.8;3.6
émissaires;4.05;20;12;6;3.6
emmêlaient;1.31;10;5;2.55;1.75
emmêlait;1.31;8;5;2.3;1.75
emmêle;1.31;6;4;1.8;1.7
emmêlent;1.31;8;4;2.15;1.7
emmêler;1.31;7;5;1.95;1.9
emmêles;1.31;7;4;2.15;1.7
emmerdement;0.84;11;8;2.85;2.7
emmerdements;0.84;12;8;3.4;2.7
emmitouflé;0.28;20;16;6.1;5.8
emmitouflée;0.28;22;16;6.1;5.8
emmitouflés;0.28;22;16;6.4;5.8
empêtraient;0.76;11;6;2.55;1.6
empêtre;0.76;7;5;1.95;1.6
empêtré;0.79;14;12;4.1;3.9
empêtrée;0.79;16;12;4.2;3.9
empêtrées;0.79;18;12;4.6;3.9
empêtrer;0.76;8;6;2.2;1.95
empêtrés;0.79;16;12;4.3;3.9
emphase;0.22;7;4;2.5;1.9
empocha;2.92;7;5;1.8;1.75
empochaient;2.92;11;5;2.7;1.7
empochais;2.92;9;5;2.15;1.7
empochait;2.92;9;5;2.1;1.7
empochant;2.92;9;5;2.2;1.75
empoche;2.92;7;4;1.6;1.75
empoché;2.92;7;5;1.75;1.45
empochées;2.92;9;5;1.95;1.45
empochent;2.92;9;4;2.3;1.75
empocher;2.92;8;5;1.75;1.45
empreint;0.28;16;8;5;3.5
empreints;0.28;18;8;5.3;3.5
emprunt;3.66;7;4;1.9;1.85
emprunts;3.66;8;4;1.9;1.85
encastrant;0.35;10;7;2.65;2.3
encastre;0.35;8;6;2.4;1.8
encastré;0.44;16;14;4.6;4.1
encastrée;0.44;18;14;4.8;4.1
encastrées;0.44;20;14;5.1;4.1
encastrer;0.35;9;7;2.4;2.05
encastrés;0.44;18;14;4.8;4.1
enchevêtré;0.25;20;16;7.1;6.3
enchevêtrée;0.25;22;16;7.1;6.3
enchevêtrées;0.25;24;16;7.3;6.3
enchevêtrés;0.25;22;16;7.4;6.3
enclin;2.33;6;4;2.3;1.9
encline;2.33;7;5;1.85;1.9
enclins;2.33;7;4;2.15;1.9
enclume;0.82;7;5;2.05;1.95
enclumes;0.82;8;5;2.4;1.95
encombrante;1.42;11;7;3;2.65
encombrantes;1.42;12;7;3.35;2.65
encombrants;1.42;11;6;2.8;1.75
encule;15.43;6;4;1.8;1.8
enculent;15.43;8;4;1.95;1.8
enculer;15.43;7;5;1.8;1.7
encules;15.43;7;4;1.8;1.8
endossai;2.29;8;5;2.15;1.65
endossais;2.29;9;5;2.4;1.65
endossait;2.29;9;5;2.2;1.65
endossant;2.29;9;5;2.25;1.7
endossé;2.29;7;5;2.05;1.65
endossée;2.29;8;5;2.05;1.65
endossent;2.29;9;4;2;1.75
endosser;2.29;8;5;1.8;1.65
endossez;2.29;8;5;2;1.65
endossiez;2.29;9;6;2.65;1.9
énergique;1.77;9;7;2.7;2.6
énergiques;1.77;10;7;2.85;2.6
enfoiré;54.4;14;12;4.7;3.9
enfoirée;54.4;16;12;4.9;3.9
enfoirés;54.4;16;12;4.9;3.9
enfourna;0.47;8;6;2.35;1.7
enfourne;0.47;8;5;2;1.75
enfourné;0.47;8;6;2.3;1.65
enfournent;0.47;10;5;2.55;1.75
enfourner;0.47;9;6;2.4;1.65
enfumé;0.74;12;10;3.7;3.6
enfumée;0.74;14;10;3.7;3.6
enfumées;0.74;16;10;4.1;3.6
enfumés;0.74;14;10;3.7;3.6
engloba;0.78;7;6;2.45;2.25
englobait;0.78;9;6;2.4;2.1
englobant;0.78;18;12;5.1;4.5
englobe;0.78;7;5;2.1;1.95
englobé;0.78;7;6;2.3;2
englobée;0.78;8;6;2.35;2
englobées;0.78;9;6;2.5;2
englobent;0.78;9;5;2.6;1.95
englober;0.78;8;6;2.35;2
englue;0.4;6;4;1.85;1.7
englué;0.41;12;10;4.1;3.7
engluée;0.41;14;10;3.7;3.7
engluer;0.4;7;5;2.3;1.8
englués;0.41;14;10;4.3;3.7
engoncé;0.06;14;10;4;3.6
engraissaient;2.65;13;6;2.7;1.5
engraissant;2.65;11;6;2.55;1.6
engraisse;2.65;9;5;2.05;1.55
engraissé;2.65;9;6;2.2;1.75
engraissée;2.65;10;6;2.25;1.75
engraissent;2.65;11;5;2.2;1.55
engraisses;2.65;10;5;2.2;1.55
engraissés;2.65;10;6;2.25;1.75
engrenage;0.83;9;7;2.75;2.4
engrenages;0.83;10;7;3.25;2.4
enhardi;0.19;7;5;2.45;1.75
enhardie;0.19;8;5;2.4;1.75
enhardies;0.19;9;5;2.6;1.75
enhardis;0.19;8;5;2.4;1.75
enhardissent;0.19;12;6;3;1.8
enhardit;0.19;8;5;2.5;1.75
enjeu;4.67;5;3;2.6;1.8
enjeux;4.67;6;3;2.65;1.8
enjoué;1.65;12;8;3.6;3.6
enjouée;1.65;14;8;3.5;3.6
enjouées;1.33;8;4;1.9;1.8
enjoués;1.65;14;8;3.5;3.6
enlisait;0.93;8;5;2.05;1.65
enlise;0.93;6;4;1.8;1.5
enlisé;0.93;6;5;1.95;1.65
enlisée;0.93;7;5;2.05;1.65
enlisées;0.93;8;5;2.15;1.65
enlisent;0.93;8;4;2.15;1.5
enliser;0.93;7;5;1.95;1.65
enlisés;0.93;7;5;2.15;1.65
énonçait;1.52;8;5;1.8;1.65
énonce;1.52;6;4;1.75;1.6
énoncée;1.52;7;5;1.75;1.7
énoncées;1.52;8;5;1.85;1.7
énoncent;1.52;8;4;2.2;1.6
énoncer;1.52;7;5;1.9;1.7
enraciné;0.77;16;14;5;3.5
enracinée;0.77;18;14;4.8;3.5
enracinées;0.77;20;14;5;3.5
enracinés;0.77;18;14;4.8;3.5
enroué;0.3;12;8;3.2;3.5
enrouée;0.3;14;8;3.1;3.5
enroués;0.3;14;8;3.3;3.5
ensommeillé;0.35;22;14;5.7;4.4
ensommeillée;0.35;24;14;5.9;4.4
ensuit;1.2;6;4;1.8;1.65
ensuive;1.2;7;5;1.8;1.7
ensuivent;1.2;9;5;2.3;1.7
ensuivie;1.2;8;6;2.3;1.75
ensuivirent;1.2;11;7;3;2.2
ensuivit;1.2;8;6;2.25;1.75
ensuivra;1.2;8;7;2.35;1.85
ensuivraient;1.2;12;7;2.65;1.8
ensuivrait;1.2;10;7;2.45;1.8
ensuivre;1.2;8;6;2.3;1.6
entaille;2.45;16;8;3.4;2.9
entailles;2.45;18;8;3.6;2.9
enthousiasmais;1.67;14;9;3.25;3.3
enthousiasmait;1.67;14;9;3.2;3.3
enthousiasmant;1.74;28;18;6.4;5.9
enthousiasmé;1.67;12;9;3.2;3.4
enthousiasmée;1.67;13;9;3.1;3.4
enthousiasmer;1.67;13;9;3.1;3.4
enthousiasmés;1.67;13;9;3.2;3.4
entracte;1.61;8;6;1.9;1.9
entractes;1.61;9;6;2.2;1.9
entraîneur;8.69;10;7;2.45;1.9
entraîneurs;8.69;11;7;2.55;1.9
entraîneuse;8.69;11;7;2.75;2
entraîneuses;8.69;12;7;3.3;2
entrebâillant;0.12;13;8;3.05;2.25
entrechoquaient;0.19;15;8;3.45;2.55
entrechoquant;0.19;13;8;3.05;2.6
entrechoquent;0.19;13;7;2.85;2.55
entrechoquer;0.19;12;8;3.2;2.6
entrechoqués;0.19;12;8;3.15;2.6
entrecoupé;0.07;20;16;5.6;5.3
entrecoupée;0.07;22;16;6.1;5.3
entrecoupées;0.07;24;16;5.9;5.3
entrecoupés;0.07;22;16;5.4;5.3
entrecroisées;0.28;13;10;3.15;3
entrecroisent;0.28;13;9;2.75;2.6
entrecroisés;0.28;12;10;3.05;3
envergure;1.66;9;7;3.25;2.85
environne;0.28;9;6;2.45;2.6
envol;2.5;5;4;1.75;1.9
envols;2.5;6;4;1.65;1.9
éperdument;1.01;10;8;3.05;2.9
épi;1.61;3;3;1.6;1
épidémie;9.05;8;7;3.2;2.85
épidémies;9.05;9;7;3.35;2.85
épineuse;1.01;8;6;1.9;1.9
épineuses;1.01;9;6;2.25;1.9
épis;1.61;4;3;1.35;1
épopée;1.2;6;5;1.9;1.9
épopées;1.2;7;5;1.95;1.9
épousseter;0.54;10;6;2.65;1.85
époussette;0.54;10;6;2.3;1.95
époussettent;0.54;12;6;3.25;1.95
éprend;2.95;6;4;1.9;1.4
éprendre;2.95;8;6;2;1.75
éprennent;2.95;9;5;2.45;1.7
éprit;2.95;5;4;1.75;1.5
épuisante;2.24;9;7;2.2;1.9
épuisantes;2.24;10;7;2.4;1.9
épuisants;2.24;9;6;2.15;1.6
équatorial;0.38;10;10;3.6;3.6
équatoriale;0.38;11;10;3.75;3.6
équilibrait;1.97;11;8;2.55;2.3
équilibrent;1.97;11;7;2.55;2.3
équilibrer;1.97;10;8;2.4;2.3
érige;1.91;5;4;1.8;1.65
érigé;1.91;5;5;1.85;1.65
érigea;1.91;6;5;2;1.7
érigeaient;1.91;10;5;2.45;1.7
érigeant;1.91;8;5;2.15;1.75
érigée;1.91;6;5;1.75;1.65
érigées;1.91;7;5;1.9;1.65
érigent;1.91;7;4;1.9;1.65
ériger;1.91;6;5;1.9;1.65
érigés;1.91;6;5;1.85;1.65
errance;0.54;7;4;2.25;1.65
errances;0.54;8;4;2.45;1.65
escabeau;0.69;8;6;3.5;2.25
escabeaux;0.69;9;6;3.65;2.25
escadre;1.54;7;6;2;1.85
escadres;1.54;8;6;2.15;1.85
escadrille;2.1;10;8;3.05;2.65
escadrilles;2.1;11;8;3.3;2.65
escamotait;0.28;10;8;2.7;2.5
escamotant;0.28;10;8;2.7;2.65
escamote;0.28;8;7;2.3;2.7
escamoté;0.28;8;8;2.45;2.55
escamotée;0.28;9;8;2.4;2.55
escamoter;0.28;9;8;2.45;2.55
escarpin;0.77;8;7;2.6;2.55
escarpins;0.77;9;7;2.85;2.55
escomptaient;0.67;12;6;2.95;2
escomptais;0.67;10;6;2.45;2
escomptait;0.67;10;6;2.35;2
escomptant;0.67;10;6;2.4;2.05
escompte;0.84;16;10;3.7;3.6
escompté;0.67;8;6;2.15;1.85
escomptée;0.67;9;6;2.2;1.85
escomptées;0.67;10;6;2.2;1.85
escomptent;0.67;10;5;2.45;1.8
escompter;0.67;9;6;2.1;1.85
escomptés;0.67;9;6;2.1;1.85
escouade;1.46;8;6;2.7;2.15
escouades;1.46;9;6;2.7;2.15
escrime;1.61;14;12;4.8;3.7
escroc;9.27;6;5;2.7;1.95
escrocs;9.27;7;5;2.75;1.95
espaçant;0.52;8;6;2.45;1.7
espacer;0.52;7;6;1.95;1.8
espacèrent;0.52;10;7;2.55;2.15
essaim;0.97;6;3;1.95;1.6
essaims;0.97;7;3;2.1;1.5
esthétiques;3.09;11;7;2.95;2.3
étain;1.19;5;3;1.7;1.3
étains;1.19;6;3;1.85;1.3
étal;0.56;4;4;1.5;1
étalon;6.2;6;5;1.9;1.6
étals;0.56;5;4;1.55;1
étau;0.75;4;3;1.75;1.25
étaux;0.75;5;3;1.75;1.25
étendard;0.77;8;6;2.45;1.75
étendards;0.77;9;6;2.75;1.75
éternise;1.31;8;7;2.1;1.9
éternisé;1.31;8;8;2.1;2.15
éternisent;1.31;10;7;2.55;1.9
éterniser;1.31;9;8;2.35;2.15
éternisés;1.31;9;8;2.3;2.15
étourdies;1.73;18;12;4.7;3.8
étrier;0.83;6;6;1.7;1.55
étriers;0.83;7;6;1.9;1.55
étriqué;0.42;14;12;3.7;3.3
étriquée;0.42;16;12;3.9;3.3
étriquées;0.42;18;12;4.5;3.3
étriqués;0.42;16;12;4;3.3
évaporé;2.99;14;14;4.9;5
évaporés;2.99;16;14;4.9;5
évasif;0.85;6;6;2.4;2.3
évasifs;0.85;7;6;2.5;2.3
évasive;0.85;7;6;2.55;2.3
évasives;0.85;8;6;2.7;2.3
éventé;0.95;12;10;3.1;2.8
éventée;0.95;14;10;3.2;2.8
éventées;0.95;16;10;3.4;2.8
éventés;0.95;14;10;3.3;2.8
éventraient;2.81;11;6;2.4;1.6
éventrait;2.81;9;6;2;1.6
éventrant;2.81;9;6;2.15;1.75
éventre;2.81;7;5;1.55;1.4
éventrent;2.81;9;5;2.05;1.4
éventrer;2.81;8;6;1.75;1.6
éventualité;2.47;11;10;3.5;3.6
éventualités;2.47;12;10;3.65;3.6
exactitude;1.26;10;10;3.2;4
exaspération;0.55;12;12;3.4;3.75
excursion;3.67;9;9;2.6;2.8
excursions;3.67;10;9;2.55;2.8
exigu;0.53;5;6;1.85;2.1
exiguë;0.53;6;6;2.2;2.1
exiguës;0.53;7;6;2.5;2.1
exila;2.41;5;6;1.8;1.65
exile;2.41;5;5;1.55;1.6
exiler;2.41;6;6;1.8;1.65
exode;0.43;5;5;1.9;2.25
exodes;0.43;6;5;2.2;2.25
expérimenté;6.34;22;22;4.5;4.9
expérimentée;6.34;24;22;4.4;4.9
expérimentées;6.34;26;22;4.7;4.9
expérimentés;6.34;24;22;4.5;4.9
experte;7.66;7;7;1.8;1.9
expertes;7.66;8;7;2.05;1.9
expirait;6.06;8;7;1.8;1.65
expirant;6.06;16;14;3.5;3.4
expire;6.06;6;6;1.6;1.6
expiré;6.06;6;7;1.7;1.75
expirée;6.06;7;7;1.75;1.75
expirent;6.06;8;6;1.9;1.6
expirer;6.06;7;7;1.75;1.75
expirés;6.06;7;7;1.85;1.75
expirez;6.06;7;7;1.85;1.75
exploration;2.06;11;11;2.6;2.85
explorations;2.06;12;11;2.55;2.85
explosif;14.11;16;18;3.9;4.3
explosifs;14.11;18;18;4.5;4.3
